,drug1.conc,drug2.conc,effect,hsa
0,0.0,0.0,1.0967,0.0
1,0.01,0.0,0.5887,0.0
2,0.1,0.0,0.6196,0.0
3,1.0,0.0,0.5336,0.0
4,10.0,0.0,0.5125,0.0
5,0.0,2.5,0.5017,0.0
6,0.0,5.0,0.3898,0.0
7,0.0,10.0,0.29100000000000004,0.0
8,0.0,20.0,0.3345,0.0
9,0.01,2.5,0.4638,0.05256666666666665
10,0.01,5.0,0.3683,0.029333333333333322
11,0.01,10.0,0.2978,-3.333333333332966e-05
12,0.01,20.0,0.2788,0.023233333333333328
13,0.1,2.5,0.4578,0.058566666666666656
14,0.1,5.0,0.3571,0.040533333333333366
15,0.1,10.0,0.2921,0.005666666666666653
16,0.1,20.0,0.2764,0.02563333333333334
17,1.0,2.5,0.4338,0.08256666666666662
18,1.0,5.0,0.3656,0.03203333333333336
19,1.0,10.0,0.2938,0.003966666666666674
20,1.0,20.0,0.2851,0.0169333333333333
21,10.0,2.5,0.3981,0.10503333333333331
22,10.0,5.0,0.3132,0.08443333333333336
23,10.0,10.0,0.2704,0.027366666666666706
24,10.0,20.0,0.27,0.0320333333333333
25,0.0,0.0,0.7443,0.0
26,0.01,0.0,0.6324,0.0
27,0.1,0.0,0.6135,0.0
28,1.0,0.0,0.5381,0.0
29,10.0,0.0,0.5296,0.0
30,0.0,2.5,0.5549,0.0
31,0.0,5.0,0.3964,0.0
32,0.0,10.0,0.3119,0.0
33,0.0,20.0,0.3028,0.0
34,0.01,2.5,0.5074,0.008966666666666678
35,0.01,5.0,0.368,0.029633333333333345
36,0.01,10.0,0.3174,-0.019633333333333336
37,0.01,20.0,0.2673,0.03473333333333334
38,0.1,2.5,0.534,-0.01763333333333339
39,0.1,5.0,0.366,0.03163333333333335
40,0.1,10.0,0.3032,-0.0054333333333333456
41,0.1,20.0,0.2752,0.02683333333333332
42,1.0,2.5,0.4873,0.02906666666666663
43,1.0,5.0,0.3475,0.05013333333333336
44,1.0,10.0,0.2988,-0.0010333333333333306
45,1.0,20.0,0.2869,0.015133333333333332
46,10.0,2.5,0.4654,0.03773333333333334
47,10.0,5.0,0.3085,0.08913333333333334
48,10.0,10.0,0.2665,0.031266666666666665
49,10.0,20.0,0.2736,0.02843333333333331
50,0.0,0.0,0.6078,0.0
51,0.01,0.0,0.6601,0.0
52,0.1,0.0,0.6136,0.0
53,1.0,0.0,0.5312,0.0
54,10.0,0.0,0.4673,0.0
55,0.0,2.5,0.4925,0.0
56,0.0,5.0,0.4067,0.0
57,0.0,10.0,0.2904,0.0
58,0.0,20.0,0.2688,0.0
59,0.01,2.5,0.4777,0.03866666666666663
60,0.01,5.0,0.3735,0.02413333333333334
61,0.01,10.0,0.2941,0.003666666666666707
62,0.01,20.0,0.2776,0.024433333333333307
63,0.1,2.5,0.4993,0.01706666666666662
64,0.1,5.0,0.3396,0.058033333333333326
65,0.1,10.0,0.2999,-0.0021333333333333204
66,0.1,20.0,0.2611,0.04093333333333332
67,1.0,2.5,0.4711,0.04526666666666662
68,1.0,5.0,0.3627,0.034933333333333316
69,1.0,10.0,0.3032,-0.0054333333333333456
70,1.0,20.0,0.2523,0.049733333333333296
71,10.0,2.5,0.4906,0.01253333333333334
72,10.0,5.0,0.3411,0.056533333333333324
73,10.0,10.0,0.2911,0.006666666666666654
74,10.0,20.0,0.2345,0.06753333333333333
