,0
E0_lower,0.642183470025119
E0,0.6642249644250299
E0_upper,0.6923622546046424
E1_lower,0.5702628657065637
E1,0.5978269200939239
E1_upper,0.6220668346038223
E2_lower,0.1745518838078484
E2,0.20008604623677936
E2_upper,0.22880119105010743
E3_lower,0.15881567244360423
E3,0.1816256489763462
E3_upper,0.20793115183936522
h1_lower,40.14051764260036
h1,41.646747276007964
h1_upper,42.3312802730795
h2_lower,24.473752166944784
h2,25.41801156792106
h2_upper,26.154908197842058
C1_lower,0.010264908178237135
C1,0.011893879215851132
C1_upper,0.013103848688091103
C2_lower,2.475617470854057
C2,2.506022344109511
C2_upper,2.5334966174653664
beta_lower,-0.0334356069672517
beta,0.0397734310505412
beta_upper,0.12618660633735626
alpha12_lower,0.9820303038864637
alpha12,1.000186659712776
alpha12_upper,1.0212191990642119
alpha21_lower,0.9829159336899213
alpha21,1.4067093714234735
alpha21_upper,2.883770566947746
gamma12_lower,0.9508718981177242
gamma12,0.9736006949104836
gamma12_upper,1.0023555064035672
gamma21_lower,0.6233432087058292
gamma21,0.9700125069718996
gamma21_upper,1.6598250985092189
Converged,True
R^2,0.9655711117740288
RSS,0.07890730576789635
BIC,-344.8030820324265
AIC,-365.39126346897336
Bootstrap Iterations,499
